date,scientist,rep,primary,secondary,secondary_dose,vial,day,status,alive3,0 hour,10 hour,log10_10hour
6/20/2018,Frank,2,PBS,P.rett,0.5,14,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.5,14,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.5,14,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.5,14,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.5,14,7,0,TRUE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.5,14,7,0,TRUE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.5,14,7,0,TRUE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.5,15,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.5,15,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.5,15,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.5,15,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.5,15,1,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.5,15,2,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.5,15,2,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.5,15,3,1,FALSE,,,0
6/20/2018,Frank,2,PBS,P.rett,0.5,15,7,0,TRUE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.01,17,1,1,FALSE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.01,17,2,1,FALSE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.01,17,4,1,TRUE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.01,17,6,1,TRUE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.01,17,7,0,TRUE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.01,17,7,0,TRUE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.01,17,7,0,TRUE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.01,19,1,1,FALSE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.01,19,2,1,FALSE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.01,19,4,1,TRUE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.01,19,7,0,TRUE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.01,19,7,0,TRUE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.01,19,7,0,TRUE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.01,19,7,0,TRUE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.01,19,7,0,TRUE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.05,20,1,1,FALSE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.05,20,1,1,FALSE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.05,20,3,1,FALSE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.05,20,7,0,TRUE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.05,20,7,0,TRUE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.05,20,7,0,TRUE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.05,20,7,0,TRUE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.05,20,7,0,TRUE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.05,20,7,0,TRUE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.05,22,1,1,FALSE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.05,22,1,1,FALSE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.05,22,6,1,TRUE,,,0
6/20/2018,Frank,2,E.fae,P.rett,0.05,22,6,1,TRUE,,,0
